id,session,inter,g,l,delta,delta_rd,num_rounds
4,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
4,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
4,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
4,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
4,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
4,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
4,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
4,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
4,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
4,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
5,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
5,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
5,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
5,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
5,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
5,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
